age,gender,education,marital_status,num_dependents,annual_income,credit_score,existing_debt,num_credit_cards,months_employed,loan_amount,loan_term_months,loan_purpose,interest_rate,property_ownership,loan_default
46,Female,Bachelor,Single,0,65700.0,690.0,17400,7.0,12.0,20600,36,Car,8.15,Mortgage,0
20,Male,Bachelor,Married,1,42400.0,708.0,17200,5.0,28.0,13800,36,Personal,3.0,Mortgage,0
37,Male,PhD,Single,2,81800.0,599.0,64000,1.0,64.0,36500,36,Home,10.23,Own,0
53,Male,Master,Married,0,37900.0,703.0,24100,0.0,24.0,24200,48,Medical,14.65,Rent,0
36,Female,High School,Married,2,41600.0,638.0,13400,3.0,2.0,25600,36,Medical,4.71,Rent,1
43,Female,Bachelor,Single,4,65800.0,654.0,35100,1.0,34.0,20300,48,Personal,11.97,Own,1
20,Female,Bachelor,Married,0,38100.0,663.0,5100,0.0,64.0,8400,36,Personal,8.36,Mortgage,0
36,Female,Bachelor,Single,3,63100.0,819.0,18100,7.0,181.0,37900,60,Home,10.1,Own,0
37,Female,Bachelor,Single,4,57000.0,577.0,34400,2.0,2.0,24000,12,Home,4.96,Own,1
49,Male,Master,Married,4,59300.0,745.0,29600,5.0,37.0,2700,36,Medical,5.4,Own,0
24,Female,Bachelor,Single,2,42000.0,764.0,18000,5.0,29.0,23300,12,Personal,8.76,Rent,0
69,Male,Bachelor,Divorced,4,20500.0,716.0,12000,3.0,13.0,8700,36,Car,7.85,Own,1
58,Female,Master,Married,1,67800.0,607.0,25700,0.0,49.0,32100,24,Education,8.95,Rent,0
50,Female,Bachelor,Married,0,47000.0,786.0,5600,7.0,9.0,30400,60,Personal,4.11,Rent,0
57,Male,High School,Single,1,40600.0,623.0,16600,,16.0,43100,12,Personal,10.33,Rent,1
56,Male,Bachelor,Married,2,60100.0,705.0,44000,3.0,73.0,7300,36,Medical,9.67,Own,0
35,Male,High School,Married,2,54900.0,660.0,38400,2.0,30.0,42200,48,Home,11.82,Rent,1
57,Male,PhD,Single,0,74500.0,620.0,28800,5.0,243.0,31200,24,Home,9.45,Rent,0
18,Male,High School,Married,4,26200.0,694.0,3000,4.0,23.0,8600,48,Car,15.27,Rent,0
28,Female,Bachelor,Single,3,59700.0,800.0,32600,2.0,30.0,46900,60,Home,14.52,Own,0
45,Female,Bachelor,Married,2,39100.0,671.0,24200,3.0,17.0,23500,48,Personal,8.55,Own,1
42,Female,PhD,Single,0,100200.0,808.0,30700,,13.0,10700,24,Home,8.43,Own,0
67,Female,High School,Divorced,3,47800.0,635.0,20700,0.0,123.0,37500,24,Home,6.01,Mortgage,0
40,Female,High School,Married,4,27100.0,656.0,21500,6.0,66.0,11900,24,Home,4.43,Own,0
48,Female,High School,Single,2,44200.0,552.0,22300,7.0,19.0,38900,24,Medical,7.82,Rent,1
47,Male,High School,Single,0,56300.0,605.0,19500,6.0,58.0,22700,12,Education,6.57,Rent,0
59,Female,High School,Married,0,20500.0,633.0,11100,7.0,162.0,20800,60,Medical,6.14,Mortgage,0
52,Male,Bachelor,Divorced,0,,624.0,7300,2.0,4.0,9400,36,Personal,9.55,Mortgage,0
24,Female,High School,Single,2,28800.0,573.0,6900,6.0,15.0,12500,36,Education,3.77,Mortgage,0
33,Female,High School,Single,3,38200.0,589.0,28600,2.0,11.0,26900,24,Home,4.95,Mortgage,0
43,Female,Master,Married,0,43900.0,627.0,11700,6.0,98.0,5300,36,Personal,3.0,Rent,0
65,Male,Bachelor,Married,4,63000.0,745.0,20000,7.0,9.0,33300,36,Personal,4.44,Mortgage,1
69,Female,Bachelor,Married,0,50700.0,530.0,24400,5.0,18.0,18700,60,Home,6.69,Rent,1
66,Female,Bachelor,Married,3,43700.0,483.0,31900,6.0,38.0,20200,24,Home,10.92,Rent,1
19,Male,PhD,Single,2,82100.0,509.0,53100,7.0,47.0,32000,60,Personal,14.3,Rent,1
18,Male,High School,Divorced,0,,582.0,5400,5.0,79.0,22600,48,Car,3.32,Rent,0
65,Female,Master,Married,0,79000.0,701.0,46200,4.0,25.0,39800,60,Education,11.13,Mortgage,1
29,Male,Master,Single,4,58000.0,621.0,26300,0.0,37.0,1000,12,Personal,5.61,Own,0
22,Female,High School,Married,4,21400.0,620.0,9300,2.0,162.0,34600,12,Home,8.99,Own,1
54,Male,PhD,Married,0,115400.0,619.0,67400,4.0,17.0,25300,36,Medical,10.23,Mortgage,0
49,Male,Bachelor,Single,0,,500.0,15400,2.0,14.0,17100,60,Home,12.72,Rent,1
26,Female,High School,Married,4,36800.0,719.0,29000,6.0,60.0,36400,48,Home,15.69,Mortgage,1
58,Male,Master,Single,3,69800.0,755.0,38500,5.0,71.0,32000,36,Medical,11.63,Mortgage,0
52,Female,Master,Married,1,50300.0,623.0,17900,0.0,26.0,27700,12,Home,7.08,Own,0
36,Male,Bachelor,Divorced,1,67500.0,657.0,35100,6.0,11.0,22000,36,Personal,3.88,Own,0
65,Male,High School,Single,0,25600.0,659.0,6400,0.0,72.0,16500,36,Home,9.2,Rent,0
33,Female,Bachelor,Married,4,58300.0,565.0,31700,1.0,53.0,12100,36,Home,10.44,Mortgage,0
20,Male,Master,Married,2,63500.0,922.0,7600,4.0,100.0,41400,24,Home,5.04,Own,0
37,Female,Bachelor,Divorced,2,69800.0,793.0,23700,5.0,89.0,34900,24,Personal,10.83,Own,0
41,Female,Bachelor,Married,1,45000.0,650.0,28000,5.0,11.0,31800,36,Car,7.22,Own,1
50,Female,High School,Married,3,32300.0,668.0,21500,5.0,86.0,19900,60,Car,5.11,Rent,0
41,Male,High School,Married,1,29000.0,595.0,8000,6.0,9.0,49400,48,Education,8.91,Rent,1
69,Male,Master,Divorced,0,97700.0,616.0,46700,3.0,96.0,16700,48,Medical,5.79,Mortgage,0
28,Female,Bachelor,Divorced,3,53000.0,702.0,24900,2.0,71.0,20500,60,Home,5.03,Mortgage,0
66,Female,PhD,Single,2,86200.0,583.0,34100,0.0,40.0,46800,24,Personal,9.36,Mortgage,0
25,Female,Bachelor,Married,4,26600.0,780.0,6900,2.0,49.0,24400,12,Personal,9.75,Rent,0
53,Male,Master,Married,4,63100.0,521.0,37400,2.0,5.0,45900,48,Car,7.4,Rent,1
55,Male,Bachelor,Married,0,59300.0,599.0,16400,3.0,2.0,29500,36,Car,9.32,Rent,1
57,Female,Bachelor,Married,1,,532.0,33900,0.0,19.0,18800,36,Personal,11.92,Rent,1
37,Female,High School,Married,0,47000.0,756.0,22100,1.0,83.0,22700,24,Car,11.0,Own,0
52,Female,Bachelor,Divorced,4,53600.0,647.0,38000,5.0,30.0,16400,36,Personal,6.02,Mortgage,1
65,Female,Bachelor,Single,2,53900.0,,16400,4.0,12.0,33300,36,Home,8.58,Rent,0
42,Female,PhD,Single,4,105400.0,682.0,70100,2.0,86.0,39700,36,Education,6.4,Own,0
52,Male,Bachelor,Married,3,,762.0,13300,3.0,12.0,30600,36,Personal,4.3,Own,0
42,Male,High School,Single,4,41100.0,667.0,26200,3.0,81.0,28400,36,Car,10.43,Own,0
46,Male,High School,Single,4,42900.0,741.0,15900,4.0,29.0,12500,60,Car,11.51,Own,0
35,Male,High School,Single,3,61200.0,627.0,26300,4.0,30.0,38100,60,Medical,7.08,Rent,0
63,Female,Bachelor,Married,1,69700.0,573.0,15100,6.0,15.0,35100,48,Personal,9.2,Rent,0
35,Male,Master,Divorced,4,63300.0,669.0,7200,7.0,111.0,28300,60,Home,13.14,Own,0
19,Female,PhD,Married,0,115800.0,594.0,65600,0.0,4.0,21400,24,Personal,11.57,Rent,1
52,Male,High School,Married,4,57400.0,705.0,29400,2.0,7.0,25500,48,Medical,6.74,Mortgage,0
33,Male,Bachelor,Single,0,48100.0,617.0,25800,,48.0,14100,36,Personal,8.26,Own,0
58,Male,Bachelor,Married,3,67400.0,643.0,18800,,91.0,7300,48,Personal,6.38,Own,0
53,Male,Bachelor,Married,4,63100.0,471.0,16900,7.0,5.0,21400,24,Medical,9.19,Rent,1
50,Female,Bachelor,Married,3,60000.0,640.0,40900,5.0,64.0,14700,48,Personal,8.62,Rent,1
21,Male,Bachelor,Single,3,28600.0,631.0,18100,6.0,65.0,18900,12,Home,5.04,Rent,1
50,Female,Bachelor,Single,1,46200.0,743.0,15500,1.0,42.0,19100,24,Personal,7.13,Rent,0
31,Male,High School,Single,4,42200.0,720.0,23100,2.0,32.0,24100,48,Home,3.0,Mortgage,0
38,Male,Master,Married,0,90600.0,652.0,61600,3.0,19.0,23300,48,Home,5.38,Mortgage,0
65,Male,High School,Married,0,40900.0,520.0,29500,5.0,21.0,1000,36,Medical,9.74,Mortgage,0
37,Female,Bachelor,Divorced,4,64900.0,615.0,6800,4.0,54.0,29200,48,Home,8.93,Rent,1
25,Female,Bachelor,Married,1,39800.0,743.0,26600,,,26600,24,Personal,11.34,Mortgage,0
24,Male,Bachelor,Married,1,44800.0,634.0,15500,0.0,42.0,36500,48,Personal,8.66,Mortgage,0
20,Male,Master,Divorced,1,109500.0,565.0,66000,4.0,16.0,22400,12,Home,7.91,Mortgage,0
34,Female,Master,Single,0,57100.0,742.0,20600,3.0,30.0,38000,48,Home,14.07,Rent,1
50,Male,Master,Married,3,87200.0,520.0,45700,0.0,39.0,23200,36,Education,7.48,Mortgage,1
65,Male,Bachelor,Divorced,1,53800.0,641.0,29700,,104.0,29100,60,Personal,7.34,Mortgage,1
29,Female,Master,Single,0,48000.0,695.0,18400,4.0,42.0,14000,36,Personal,8.65,Own,0
68,Female,Bachelor,Divorced,0,44400.0,660.0,20400,4.0,12.0,38600,36,Home,6.17,Rent,0
39,Male,Master,Divorced,3,86400.0,,52600,2.0,4.0,40600,36,Personal,9.27,Mortgage,1
39,Female,Bachelor,Married,4,60100.0,576.0,26000,0.0,47.0,47600,36,Car,6.33,Rent,1
63,Female,PhD,Married,4,113200.0,594.0,12400,7.0,38.0,18500,24,Car,7.21,Own,0
47,Male,PhD,Married,1,103000.0,,11200,6.0,53.0,31400,48,Home,6.26,Own,0
55,Female,Master,Married,1,89000.0,664.0,50100,7.0,30.0,7700,36,Car,3.17,Rent,0
55,Female,Bachelor,Single,3,67400.0,619.0,46700,4.0,84.0,2400,36,Medical,3.0,Mortgage,0
62,Male,High School,Single,1,37200.0,683.0,24200,5.0,121.0,31800,12,Education,4.23,Own,1
68,Male,Master,Single,3,93500.0,590.0,29700,7.0,2.0,23600,12,Personal,11.92,Mortgage,1
25,Male,High School,Married,0,29700.0,709.0,12800,3.0,65.0,9600,36,Medical,8.73,Mortgage,0
44,Female,Master,Single,1,58100.0,686.0,15300,0.0,2.0,27100,60,Car,7.06,Own,0
44,Male,Bachelor,Single,0,60700.0,632.0,48100,5.0,28.0,36200,36,Education,5.38,Own,0
51,Female,Bachelor,Single,2,48900.0,,13800,2.0,30.0,25800,24,Home,12.28,Mortgage,0
38,Female,Master,Married,3,96400.0,623.0,37700,1.0,,39700,24,Education,6.57,Mortgage,0
47,Male,Bachelor,Divorced,2,46100.0,730.0,26600,6.0,21.0,17100,60,Car,5.96,Own,0
50,Female,Bachelor,Divorced,1,56000.0,667.0,39900,,83.0,38000,48,Home,3.0,Mortgage,0
45,Male,Bachelor,Married,0,55800.0,633.0,7600,1.0,20.0,20400,60,Car,3.0,Rent,0
64,Female,Bachelor,Divorced,1,38100.0,,11800,4.0,20.0,39800,12,Personal,9.88,Own,0
50,Female,Master,Married,2,79300.0,697.0,39500,7.0,12.0,9700,60,Education,13.56,Mortgage,0
22,Male,Bachelor,Married,1,67100.0,693.0,35800,,55.0,27800,48,Personal,9.39,Rent,0
65,Male,PhD,Married,4,103700.0,608.0,15500,2.0,4.0,27700,60,Car,9.35,Mortgage,0
36,Male,Master,Single,2,60500.0,990.0,34200,7.0,22.0,30700,12,Personal,13.89,Rent,1
21,Male,Bachelor,Divorced,1,41900.0,641.0,19700,2.0,15.0,20800,48,Car,10.0,Mortgage,0
52,Male,Master,Married,0,63900.0,558.0,43400,7.0,13.0,30200,36,Personal,8.48,Own,1
66,Male,Bachelor,Married,1,36800.0,,9400,2.0,3.0,22600,36,Car,10.18,Rent,0
34,Female,Bachelor,Married,0,49300.0,518.0,11700,2.0,10.0,18700,36,Home,11.21,Rent,1
61,Male,PhD,Single,4,90700.0,548.0,59400,0.0,28.0,42000,48,Personal,10.03,Own,1
45,Male,High School,Single,1,36200.0,609.0,21500,7.0,34.0,25900,60,Personal,7.04,Mortgage,1
47,Female,Bachelor,Married,4,75500.0,600.0,49400,0.0,15.0,6800,48,Personal,9.72,Own,1
46,Male,Bachelor,Single,2,42400.0,686.0,27400,4.0,50.0,16900,48,Car,6.42,Rent,0
63,Female,Bachelor,Married,0,55700.0,673.0,9600,0.0,20.0,42400,48,Personal,8.41,Mortgage,1
23,Female,Bachelor,Married,2,38800.0,760.0,11400,4.0,22.0,14100,48,Home,9.69,Rent,0
52,Female,Master,Married,0,74200.0,657.0,20900,6.0,73.0,31500,36,Home,14.02,Rent,1
58,Male,Bachelor,Married,4,50700.0,666.0,38200,0.0,39.0,16700,36,Personal,9.82,Mortgage,1
54,Male,Bachelor,Married,3,39500.0,557.0,17400,0.0,147.0,7700,48,Education,8.55,Rent,0
41,Male,High School,Married,1,46100.0,557.0,8200,0.0,21.0,30800,12,Personal,7.3,Own,1
46,Female,Bachelor,Married,4,58600.0,655.0,17700,6.0,84.0,21100,48,Car,6.75,Rent,0
66,Male,High School,Married,0,19500.0,657.0,13900,3.0,64.0,44100,48,Personal,7.34,Rent,1
63,Male,Bachelor,Married,0,35800.0,673.0,24800,6.0,106.0,38500,36,Medical,8.62,Mortgage,0
48,Female,Bachelor,Divorced,0,54500.0,752.0,39800,2.0,151.0,40200,60,Education,11.25,Rent,1
52,Male,High School,Single,0,39300.0,,14600,6.0,0.0,37800,36,Car,4.68,Own,1
50,Male,Bachelor,Married,1,24300.0,785.0,13300,3.0,4.0,33300,24,Personal,10.8,Rent,1
69,Male,High School,Divorced,2,49400.0,531.0,14600,0.0,54.0,8600,36,Personal,6.8,Rent,0
38,Female,PhD,Married,3,65300.0,680.0,14800,0.0,24.0,22200,60,Car,6.4,Own,0
49,Male,PhD,Single,1,89200.0,550.0,10300,3.0,82.0,33100,60,Personal,10.03,Mortgage,0
40,Female,Bachelor,Married,0,50900.0,708.0,13100,7.0,1.0,21500,36,Car,7.37,Rent,0
50,Female,PhD,Single,1,84900.0,531.0,44400,5.0,79.0,24600,24,Personal,9.93,Rent,1
20,Male,Master,Single,4,33900.0,431.0,24800,4.0,7.0,33700,24,Personal,9.66,Mortgage,1
35,Female,Bachelor,Divorced,0,,662.0,4100,2.0,16.0,37700,36,Car,10.92,Own,0
42,Male,High School,Married,3,22000.0,640.0,16300,6.0,167.0,13900,36,Medical,12.46,Rent,1
59,Male,Master,Single,0,89900.0,738.0,30700,4.0,,33000,36,Car,3.34,Mortgage,0
48,Female,Master,Divorced,3,77700.0,656.0,31000,,21.0,31800,48,Education,9.11,Own,0
20,Female,Bachelor,Divorced,3,48200.0,590.0,17100,5.0,4.0,13100,48,Personal,6.28,Mortgage,0
57,Female,Master,Married,2,103500.0,607.0,40000,2.0,92.0,20100,24,Car,9.75,Mortgage,0
63,Male,Bachelor,Single,2,33700.0,850.0,9500,1.0,58.0,26800,36,Home,4.28,Rent,1
41,Male,Master,Married,1,70600.0,580.0,41600,2.0,77.0,41700,48,Personal,8.65,Own,1
67,Male,PhD,Married,1,87000.0,692.0,54900,6.0,36.0,20000,36,Education,3.0,Mortgage,0
49,Male,Bachelor,Married,3,54400.0,682.0,36800,4.0,21.0,30000,24,Car,8.63,Rent,1
64,Male,Master,Divorced,0,86900.0,694.0,29500,2.0,0.0,39000,36,Home,8.52,Rent,0
39,Male,Bachelor,Married,4,44500.0,687.0,28300,1.0,16.0,47300,48,Home,6.48,Mortgage,1
40,Male,Bachelor,Single,4,26000.0,629.0,14200,1.0,35.0,27700,24,Car,7.32,Rent,1
19,Male,Master,Married,0,101800.0,509.0,78400,0.0,52.0,1000,48,Personal,7.39,Rent,0
44,Male,High School,Single,0,34000.0,662.0,13500,6.0,12.0,36100,36,Car,3.85,Mortgage,1
59,Male,Bachelor,Married,2,34500.0,649.0,27400,1.0,7.0,27500,24,Education,4.61,Rent,1
19,Female,High School,Married,4,35200.0,660.0,21800,3.0,11.0,14900,48,Home,9.06,Mortgage,0
43,Male,Bachelor,Single,3,58800.0,695.0,37800,4.0,21.0,33500,24,Home,11.7,Own,0
34,Female,Bachelor,Married,1,53500.0,617.0,6300,3.0,8.0,47400,36,Home,10.86,Mortgage,0
57,Female,Master,Single,2,57600.0,600.0,25800,5.0,,27500,36,Medical,3.0,Rent,0
50,Male,High School,Single,4,23100.0,722.0,10900,3.0,2.0,5500,48,Car,12.22,Own,0
26,Female,Bachelor,Married,0,29500.0,624.0,3800,4.0,93.0,42300,48,Personal,12.4,Own,0
60,Female,Bachelor,Single,4,45700.0,611.0,14600,7.0,12.0,25300,24,Car,6.26,Rent,1
65,Female,Master,Married,3,55500.0,604.0,42700,5.0,83.0,33600,48,Car,6.32,Mortgage,1
56,Male,PhD,Single,2,123300.0,698.0,49100,3.0,28.0,25700,12,Education,6.95,Rent,0
46,Male,PhD,Married,0,105400.0,633.0,24300,7.0,48.0,30500,36,Car,9.5,Mortgage,0
59,Male,Master,Married,3,57100.0,827.0,26200,3.0,4.0,33000,36,Personal,7.59,Rent,0
43,Female,Master,Married,1,68400.0,655.0,8500,6.0,42.0,34700,36,Personal,9.67,Mortgage,0
52,Female,High School,Married,2,60300.0,553.0,27800,5.0,16.0,26800,24,Home,4.59,Own,0
67,Female,Bachelor,Divorced,3,,615.0,22000,3.0,5.0,15900,12,Medical,5.28,Rent,1
42,Female,Bachelor,Single,3,81200.0,702.0,28500,1.0,115.0,27300,36,Medical,5.87,Own,0
41,Female,Master,Single,0,19600.0,602.0,12400,7.0,44.0,34500,12,Personal,6.05,Mortgage,1
30,Male,Master,Married,1,93300.0,649.0,18200,4.0,13.0,16000,60,Car,9.78,Rent,0
24,Male,High School,Single,3,28900.0,728.0,20700,4.0,26.0,11700,24,Home,9.24,Rent,1
53,Female,PhD,Divorced,2,70700.0,740.0,54400,4.0,21.0,41000,36,Education,10.48,Rent,0
62,Male,Bachelor,Single,3,67100.0,608.0,6800,3.0,58.0,45300,36,Car,11.74,Rent,0
37,Male,Bachelor,Married,4,44500.0,629.0,30700,1.0,45.0,25500,36,Personal,9.68,Mortgage,0
18,Male,High School,Married,2,36200.0,658.0,16400,4.0,1.0,32200,48,Personal,3.15,Rent,1
25,Male,High School,Single,2,50100.0,757.0,21200,2.0,11.0,29500,36,Home,7.25,Rent,0
63,Female,Bachelor,Married,3,59100.0,,15800,4.0,31.0,1000,12,Personal,7.65,Mortgage,0
33,Female,Bachelor,Single,0,48100.0,679.0,19900,0.0,28.0,27500,48,Personal,9.27,Mortgage,0
31,Female,High School,Married,2,42800.0,654.0,32800,2.0,35.0,42600,12,Personal,5.67,Own,1
29,Female,Bachelor,Single,4,44300.0,578.0,11000,4.0,60.0,10900,36,Personal,12.94,Mortgage,0
68,Male,Master,Divorced,0,65300.0,,14700,3.0,55.0,9800,48,Personal,7.3,Rent,0
40,Male,Master,Divorced,0,80800.0,729.0,21800,7.0,22.0,16200,24,Home,7.51,Mortgage,0
32,Female,PhD,Single,0,74500.0,773.0,36200,4.0,101.0,19300,36,Personal,7.91,Rent,0
45,Male,Bachelor,Single,2,28900.0,744.0,21700,1.0,3.0,33000,12,Car,6.95,Rent,0
51,Female,Bachelor,Married,0,66900.0,651.0,33600,1.0,42.0,40800,48,Home,3.29,Mortgage,0
19,Female,Master,Single,3,42300.0,700.0,11400,4.0,143.0,40600,48,Car,12.22,Rent,1
49,Male,Bachelor,Divorced,0,54100.0,677.0,22100,6.0,38.0,32800,24,Personal,6.6,Rent,0
40,Female,High School,Married,4,19000.0,577.0,7100,3.0,29.0,5900,36,Car,10.39,Mortgage,1
39,Female,Bachelor,Married,1,62800.0,546.0,8300,3.0,7.0,5900,48,Personal,7.22,Own,0
68,Female,Bachelor,Married,4,40200.0,680.0,18400,3.0,80.0,33800,36,Education,6.61,Rent,1
42,Male,Bachelor,Married,2,69600.0,658.0,13100,4.0,,6000,24,Car,4.77,Own,1
39,Male,Bachelor,Divorced,0,66600.0,623.0,45900,7.0,58.0,31700,36,Home,3.16,Mortgage,0
39,Male,Bachelor,Divorced,0,35200.0,643.0,17000,4.0,11.0,28300,48,Car,7.16,Mortgage,0
66,Male,High School,Single,3,50600.0,792.0,35000,0.0,2.0,19400,36,Home,7.04,Own,1
69,Male,Bachelor,Single,0,45000.0,476.0,34600,1.0,17.0,1000,24,Car,12.81,Own,1
59,Female,Bachelor,Divorced,4,67000.0,701.0,50900,6.0,16.0,27400,48,Home,8.72,Rent,0
23,Male,Bachelor,Divorced,2,46900.0,717.0,8000,2.0,99.0,31100,24,Personal,11.92,Mortgage,0
32,Female,High School,Single,1,28200.0,727.0,21500,2.0,96.0,18300,36,Education,3.99,Rent,1
60,Female,Bachelor,Married,0,45500.0,540.0,29900,7.0,37.0,11900,48,Medical,8.66,Rent,0
54,Female,Bachelor,Married,1,37400.0,627.0,24100,1.0,1.0,28500,36,Car,10.15,Rent,1
50,Male,Bachelor,Single,0,29800.0,623.0,4900,5.0,12.0,7600,36,Home,8.84,Rent,1
25,Female,Bachelor,Divorced,2,15000.0,673.0,3400,0.0,49.0,32400,36,Personal,8.95,Own,1
61,Male,Bachelor,Single,4,36200.0,560.0,28300,1.0,5.0,37700,36,Medical,7.75,Own,1
61,Male,Master,Divorced,2,71800.0,680.0,17900,0.0,58.0,1500,36,Home,4.92,Own,0
22,Female,Bachelor,Single,1,59200.0,579.0,12900,5.0,1.0,18700,48,Home,4.4,Rent,0
56,Male,Bachelor,Married,0,80000.0,626.0,28300,0.0,55.0,24400,48,Personal,10.62,Own,0
21,Male,Bachelor,Single,1,47200.0,758.0,34900,3.0,,24800,24,Car,6.52,Rent,0
23,Female,Bachelor,Married,4,45000.0,717.0,19500,1.0,30.0,14500,12,Home,7.22,Rent,0
62,Male,Bachelor,Married,2,77700.0,660.0,57800,2.0,85.0,9000,12,Home,6.52,Mortgage,0
49,Male,Bachelor,Single,1,57600.0,539.0,19200,4.0,73.0,19500,60,Personal,5.82,Rent,0
69,Male,Master,Married,1,56000.0,677.0,14500,5.0,53.0,32700,60,Personal,4.11,Own,1
47,Female,Bachelor,Married,4,61500.0,682.0,27500,5.0,28.0,31800,12,Car,13.11,Mortgage,0
64,Female,High School,Single,0,19900.0,482.0,10600,4.0,15.0,32000,36,Home,3.0,Own,1
52,Male,Bachelor,Married,1,30600.0,678.0,11400,1.0,95.0,40000,24,Education,10.56,Rent,0
57,Male,Master,Single,4,62800.0,564.0,21500,,50.0,12400,60,Car,11.77,Mortgage,1
69,Male,High School,Married,0,,532.0,10000,4.0,77.0,20500,24,Car,8.92,Rent,1
33,Male,PhD,Married,0,78700.0,560.0,23000,0.0,39.0,22800,36,Car,7.98,Mortgage,0
30,Female,Bachelor,Married,2,55500.0,,31700,4.0,9.0,1000,24,Home,9.2,Rent,1
67,Male,PhD,Single,4,78100.0,617.0,28000,0.0,186.0,27700,36,Personal,7.3,Own,0
59,Male,PhD,Married,0,95100.0,570.0,14800,0.0,10.0,24600,24,Medical,11.45,Rent,1
47,Female,Bachelor,Married,2,25300.0,741.0,5000,2.0,116.0,11400,36,Personal,11.86,Rent,0
36,Female,High School,Married,3,15000.0,621.0,5400,4.0,11.0,35500,36,Education,10.13,Own,1
34,Female,High School,Married,4,47500.0,592.0,35500,6.0,22.0,34700,36,Personal,3.55,Own,1
36,Male,High School,Married,3,38500.0,523.0,14100,2.0,28.0,29800,24,Personal,10.53,Rent,0
45,Male,Master,Single,0,51100.0,616.0,7300,6.0,,4500,36,Car,12.35,Rent,0
43,Male,Bachelor,Single,4,41700.0,,16400,4.0,105.0,13300,60,Car,10.32,Mortgage,0
54,Male,Bachelor,Single,2,60000.0,774.0,34100,6.0,83.0,28600,48,Personal,11.46,Mortgage,0
43,Female,Bachelor,Single,0,64600.0,621.0,33300,0.0,23.0,18600,48,Personal,6.31,Mortgage,0
40,Female,Master,Married,4,94100.0,644.0,27800,6.0,0.0,22200,36,Personal,7.08,Rent,0
26,Female,High School,Single,4,62700.0,706.0,36500,4.0,55.0,11800,48,Medical,12.43,Own,0
29,Female,High School,Single,3,37600.0,568.0,20400,5.0,25.0,27300,36,Education,10.5,Own,0
18,Male,High School,Single,0,21300.0,680.0,4700,5.0,68.0,43100,24,Car,7.76,Rent,1
18,Female,Master,Single,2,49700.0,839.0,10600,2.0,76.0,28900,36,Car,7.68,Mortgage,0
64,Male,Bachelor,Single,2,79400.0,711.0,38400,7.0,28.0,36700,24,Personal,8.56,Mortgage,0
51,Female,Bachelor,Single,0,,709.0,12100,3.0,66.0,35500,24,Personal,7.61,Mortgage,1
49,Male,High School,Married,0,54000.0,,41800,5.0,88.0,20700,12,Home,8.52,Own,0
65,Male,Bachelor,Married,1,38000.0,722.0,15000,6.0,127.0,22800,24,Education,17.93,Mortgage,0
42,Male,High School,Single,3,26400.0,630.0,16800,2.0,42.0,42600,36,Education,6.39,Rent,1
57,Female,PhD,Married,0,85300.0,556.0,15500,6.0,72.0,33800,48,Car,3.12,Own,0
62,Male,Master,Single,0,87100.0,639.0,62900,3.0,33.0,36500,36,Personal,6.51,Rent,0
18,Male,Bachelor,Single,1,73400.0,572.0,39900,1.0,2.0,27000,60,Education,10.16,Rent,1
33,Male,Master,Single,1,53300.0,627.0,28800,2.0,8.0,20300,24,Car,10.31,Mortgage,0
56,Female,High School,Married,4,40200.0,580.0,8000,5.0,7.0,21800,24,Car,5.27,Rent,1
22,Female,Master,Married,2,73000.0,619.0,9300,5.0,9.0,41500,60,Car,7.37,Own,1
39,Female,Master,Single,3,53600.0,531.0,31700,4.0,0.0,25000,36,Car,11.1,Own,1
46,Male,Bachelor,Single,4,44600.0,595.0,8100,3.0,94.0,40000,48,Home,8.18,Own,0
20,Female,Master,Divorced,0,35200.0,682.0,6600,5.0,39.0,41900,36,Home,5.43,Mortgage,0
29,Male,Bachelor,Single,1,72500.0,981.0,16800,4.0,23.0,36000,36,Medical,6.06,Mortgage,0
43,Female,Bachelor,Single,2,43300.0,685.0,7300,3.0,25.0,34600,24,Medical,12.72,Mortgage,1
33,Female,High School,Divorced,4,,620.0,20500,2.0,30.0,45400,60,Medical,7.14,Rent,1
68,Male,Bachelor,Married,2,62100.0,660.0,24600,2.0,4.0,14900,12,Personal,8.66,Own,0
54,Male,Master,Married,1,62600.0,806.0,17900,4.0,15.0,20100,36,Personal,3.7,Mortgage,0
39,Male,PhD,Married,4,100400.0,592.0,41000,2.0,92.0,9900,48,Personal,7.79,Mortgage,0
46,Male,Bachelor,Single,4,48700.0,778.0,33600,4.0,65.0,7000,36,Car,16.97,Own,0
31,Male,Master,Single,2,71600.0,534.0,53600,0.0,40.0,24500,60,Home,13.87,Mortgage,0
45,Female,Master,Married,1,87400.0,513.0,38600,6.0,31.0,28200,12,Car,9.26,Own,0
22,Male,High School,Single,0,26700.0,638.0,13300,3.0,14.0,31100,36,Education,13.35,Mortgage,1
64,Male,Bachelor,Married,4,44500.0,647.0,12500,4.0,31.0,16600,36,Personal,10.31,Own,0
66,Male,High School,Divorced,0,23200.0,560.0,10700,,44.0,20000,24,Personal,15.48,Mortgage,0
47,Male,Bachelor,Divorced,1,56500.0,624.0,35200,7.0,60.0,35200,48,Education,10.5,Own,0
63,Female,PhD,Single,4,109300.0,682.0,48600,0.0,,7500,36,Medical,12.52,Rent,0
69,Male,High School,Married,4,22900.0,572.0,7100,3.0,81.0,25200,36,Education,3.0,Rent,1
22,Female,Master,Married,0,81200.0,731.0,41200,4.0,20.0,40700,60,Personal,9.66,Rent,1
