age,gender,education,department,job_level,years_at_company,years_in_role,num_companies_worked,monthly_income,overtime,work_life_balance,job_satisfaction,relationship_satisfaction,environment_satisfaction,training_last_year,performance_rating,distance_from_home,business_travel,attrition
40,Male,High School,Finance,Senior,2.1,2.1,2,6200.0,No,3.0,2,2,3.0,5.0,4,8,Travel_Frequently,0
41,Female,Master,HR,Senior,0.7,0.6,4,9400.0,Yes,2.0,4,3,4.0,6.0,1,18,Travel_Rarely,1
39,Male,High School,Sales,Mid,0.9,0.7,5,5500.0,No,,3,3,3.0,4.0,3,6,Travel_Rarely,0
35,Male,Master,Engineering,Lead,4.7,4.5,3,7600.0,No,2.0,4,4,3.0,1.0,4,5,Travel_Rarely,0
36,Male,Bachelor,Finance,Mid,10.0,3.8,2,6300.0,No,2.0,3,2,2.0,5.0,3,10,Travel_Rarely,0
52,Male,Bachelor,Sales,Lead,2.0,1.6,3,9700.0,No,3.0,1,2,1.0,0.0,2,18,Travel_Rarely,1
22,Male,Bachelor,Sales,Junior,0.8,0.7,3,4400.0,No,3.0,3,4,2.0,1.0,2,27,Non-Travel,0
24,Male,High School,Sales,Mid,1.3,1.3,7,3100.0,No,4.0,3,4,3.0,6.0,3,13,Non-Travel,0
37,Male,PhD,Marketing,Junior,2.4,1.1,1,6500.0,No,3.0,3,3,3.0,4.0,4,23,Travel_Frequently,0
44,Female,Master,Marketing,Senior,1.4,0.9,4,8400.0,No,3.0,3,1,2.0,2.0,4,20,Non-Travel,0
32,Male,Bachelor,Marketing,Mid,1.1,0.9,6,5500.0,No,2.0,3,3,3.0,3.0,3,6,Travel_Rarely,1
33,Female,Bachelor,Finance,Junior,5.3,2.5,3,5500.0,No,2.0,3,2,2.0,0.0,2,21,Travel_Frequently,1
31,Female,PhD,Finance,Junior,0.0,0.0,5,7500.0,No,4.0,3,3,3.0,2.0,3,4,Travel_Rarely,0
53,Male,Master,HR,Lead,3.1,1.5,7,9800.0,No,3.0,4,3,4.0,3.0,2,13,Travel_Rarely,0
37,Female,Bachelor,Finance,Lead,6.3,3.4,5,7200.0,No,2.0,3,4,4.0,2.0,3,18,Non-Travel,0
29,Male,Master,Sales,Mid,1.2,0.7,6,7800.0,No,3.0,4,1,2.0,6.0,3,13,Travel_Frequently,0
59,Female,Bachelor,Finance,Senior,3.7,2.5,4,8700.0,No,4.0,2,3,3.0,1.0,3,13,Non-Travel,0
33,Male,Bachelor,Marketing,Mid,4.4,2.7,4,6400.0,Yes,1.0,4,3,4.0,1.0,3,7,Travel_Rarely,0
45,Female,Master,HR,Mid,4.3,2.8,2,7800.0,No,2.0,3,3,3.0,3.0,4,5,Travel_Rarely,0
49,Female,Bachelor,Engineering,Lead,2.4,1.2,2,9800.0,Yes,2.0,3,3,3.0,3.0,4,29,Travel_Rarely,0
29,Male,High School,Engineering,Junior,1.7,0.7,2,4100.0,No,4.0,3,3,3.0,1.0,3,3,Non-Travel,1
49,Male,Bachelor,Finance,Mid,7.2,2.4,4,7300.0,No,2.0,3,4,3.0,,3,6,Travel_Rarely,0
57,Female,Bachelor,Finance,Mid,5.7,2.5,3,7600.0,No,2.0,2,4,3.0,5.0,3,8,Non-Travel,0
47,Female,Bachelor,Operations,Mid,1.6,1.1,1,7100.0,No,3.0,2,1,1.0,3.0,4,27,Travel_Rarely,0
29,Male,PhD,Engineering,Mid,0.4,0.3,6,6700.0,No,3.0,1,1,3.0,3.0,4,26,Travel_Rarely,0
49,Female,Bachelor,Marketing,Mid,0.3,0.1,7,6800.0,Yes,4.0,3,4,,6.0,4,26,Non-Travel,1
49,Male,Master,HR,Junior,0.4,0.2,6,7300.0,No,3.0,2,3,4.0,5.0,3,12,Travel_Rarely,0
58,Female,Bachelor,Operations,Mid,3.5,2.9,6,8500.0,No,3.0,2,4,2.0,3.0,2,2,Travel_Frequently,0
57,Male,Bachelor,HR,Junior,0.2,0.1,2,6400.0,Yes,4.0,2,3,3.0,6.0,4,11,Travel_Frequently,0
48,Female,Bachelor,HR,Junior,1.6,1.5,1,6800.0,No,2.0,1,2,1.0,4.0,4,26,Travel_Rarely,0
38,Male,PhD,Finance,Junior,5.6,4.5,5,6200.0,No,2.0,4,3,4.0,6.0,4,28,Travel_Rarely,0
30,Male,High School,Marketing,Senior,1.4,0.7,4,5700.0,No,3.0,3,3,1.0,5.0,3,20,Travel_Rarely,1
54,Male,Bachelor,Operations,Mid,5.8,2.9,5,7300.0,No,3.0,4,3,3.0,4.0,3,3,Travel_Frequently,1
41,Male,Master,Sales,Senior,5.5,3.7,2,8700.0,No,3.0,3,4,1.0,1.0,2,23,Travel_Frequently,0
34,Male,High School,Sales,Senior,1.1,0.4,3,5900.0,No,2.0,4,3,3.0,4.0,4,10,Travel_Rarely,0
49,Male,Bachelor,Operations,Senior,5.2,2.0,7,8500.0,No,3.0,3,2,2.0,6.0,4,8,Travel_Frequently,0
50,Female,PhD,HR,Mid,5.5,2.3,7,8600.0,No,,3,4,3.0,0.0,3,8,Travel_Frequently,0
34,Male,Bachelor,Finance,Mid,2.0,1.7,2,5700.0,No,4.0,3,3,,,3,14,Travel_Frequently,1
56,Male,High School,HR,Mid,0.9,0.6,1,6400.0,No,,2,3,3.0,0.0,3,4,Travel_Rarely,1
27,Male,PhD,Sales,Senior,2.9,0.9,7,9700.0,Yes,2.0,3,3,2.0,2.0,3,15,Travel_Frequently,1
39,Male,High School,Marketing,Mid,10.2,7.9,2,6500.0,No,,4,3,1.0,0.0,3,10,Travel_Frequently,0
26,Male,Master,Marketing,Lead,4.1,2.4,6,,No,2.0,4,3,2.0,2.0,3,18,Non-Travel,0
46,Male,Bachelor,Engineering,Lead,0.8,0.5,3,9200.0,No,4.0,3,3,3.0,0.0,3,22,Travel_Frequently,0
23,Male,High School,Engineering,Junior,4.6,2.1,3,5700.0,No,3.0,4,4,3.0,6.0,3,15,Travel_Rarely,0
31,Male,Bachelor,Marketing,Junior,2.2,1.5,4,5200.0,No,3.0,4,2,1.0,6.0,4,19,Travel_Rarely,0
51,Male,Bachelor,Sales,Senior,3.6,3.5,4,7700.0,No,3.0,3,3,3.0,2.0,3,24,Travel_Rarely,1
26,Female,Master,Operations,Mid,5.3,1.9,6,6100.0,No,2.0,4,3,1.0,2.0,4,3,Travel_Rarely,0
54,Male,PhD,Engineering,Junior,2.9,1.4,3,8100.0,No,1.0,1,1,3.0,1.0,3,2,Travel_Frequently,0
22,Male,High School,Finance,Lead,6.7,3.1,6,7000.0,No,,1,4,4.0,6.0,4,13,Travel_Rarely,0
39,Female,Bachelor,Operations,Junior,5.1,2.4,3,4900.0,No,4.0,1,3,2.0,3.0,4,13,Travel_Rarely,1
53,Male,PhD,Finance,Manager,3.8,2.1,1,12700.0,No,3.0,4,1,3.0,3.0,3,25,Non-Travel,0
32,Female,Master,Engineering,Senior,0.7,0.6,2,8400.0,No,2.0,1,3,3.0,1.0,3,9,Travel_Rarely,0
42,Male,Bachelor,Finance,Senior,7.2,6.8,4,7000.0,No,4.0,1,2,3.0,2.0,2,25,Travel_Rarely,0
47,Female,Bachelor,Engineering,Junior,11.0,4.9,1,4500.0,Yes,2.0,2,3,3.0,3.0,3,3,Travel_Rarely,1
46,Female,Bachelor,Engineering,Junior,0.6,0.4,7,4400.0,Yes,4.0,2,3,3.0,3.0,3,2,Travel_Rarely,1
43,Male,Bachelor,Operations,Mid,2.7,2.0,2,4700.0,No,3.0,3,2,2.0,0.0,3,14,Non-Travel,1
48,Female,High School,Marketing,Junior,1.2,0.8,4,4300.0,No,3.0,1,4,3.0,4.0,4,16,Travel_Rarely,0
34,Male,Master,Finance,Mid,5.6,3.4,7,5900.0,No,2.0,3,2,3.0,1.0,3,14,Non-Travel,0
54,Male,Master,Engineering,Mid,5.1,2.2,6,7100.0,No,4.0,2,3,4.0,4.0,3,4,Travel_Rarely,0
55,Female,High School,Sales,Junior,0.6,0.4,7,6000.0,No,,2,4,3.0,2.0,3,2,Travel_Rarely,1
56,Female,Bachelor,Sales,Junior,8.4,4.9,1,5300.0,No,2.0,4,3,3.0,0.0,1,16,Non-Travel,0
22,Male,PhD,HR,Senior,0.8,0.7,5,7700.0,Yes,3.0,4,4,3.0,,3,8,Travel_Frequently,1
42,Male,Bachelor,Marketing,Junior,6.4,5.3,7,4100.0,No,4.0,3,4,3.0,5.0,2,26,Travel_Rarely,0
27,Male,High School,HR,Junior,2.4,0.9,5,3800.0,No,1.0,2,4,3.0,0.0,4,1,Travel_Rarely,0
49,Male,Bachelor,Marketing,Senior,1.6,0.6,4,8300.0,No,3.0,4,3,,1.0,3,18,Travel_Rarely,0
38,Female,High School,Sales,Manager,0.7,0.7,1,9900.0,No,3.0,3,3,4.0,6.0,3,22,Travel_Rarely,1
26,Male,Bachelor,Engineering,Mid,0.7,0.5,7,5600.0,Yes,3.0,3,4,2.0,2.0,2,9,Travel_Rarely,0
52,Male,Bachelor,Engineering,Junior,4.3,3.9,2,6100.0,No,3.0,3,4,2.0,0.0,3,26,Travel_Rarely,0
26,Male,PhD,Engineering,Mid,3.2,1.1,7,6500.0,Yes,2.0,2,4,3.0,0.0,4,12,Travel_Rarely,0
59,Male,Bachelor,Sales,Lead,0.5,0.3,2,,No,3.0,3,4,3.0,0.0,4,5,Travel_Rarely,0
24,Male,Master,Operations,Senior,0.5,0.3,1,7700.0,No,3.0,3,4,3.0,3.0,2,21,Non-Travel,0
44,Female,Bachelor,Engineering,Senior,0.3,0.3,5,8300.0,No,1.0,3,1,3.0,2.0,4,3,Travel_Frequently,0
58,Female,Master,Operations,Mid,5.4,2.0,1,8400.0,No,3.0,2,3,3.0,3.0,3,8,Travel_Frequently,0
58,Female,Bachelor,Engineering,Mid,5.0,2.3,5,7800.0,No,2.0,4,2,2.0,0.0,3,28,Travel_Rarely,0
31,Male,Bachelor,Operations,Junior,0.2,0.1,5,4200.0,Yes,3.0,2,2,3.0,6.0,3,22,Non-Travel,1
31,Female,Bachelor,HR,Senior,3.3,3.0,6,5600.0,No,3.0,3,2,2.0,3.0,4,26,Non-Travel,1
40,Female,Master,Operations,Senior,0.4,0.4,6,6900.0,No,4.0,3,1,3.0,3.0,3,28,Travel_Rarely,1
38,Female,Bachelor,Sales,Manager,9.4,9.4,2,11100.0,Yes,3.0,3,2,4.0,1.0,3,16,Non-Travel,1
42,Male,Bachelor,Marketing,Junior,9.5,9.2,4,4400.0,No,2.0,2,4,2.0,4.0,3,18,Travel_Rarely,1
35,Male,Bachelor,Operations,Junior,4.8,1.5,3,,No,1.0,3,3,2.0,4.0,4,12,Travel_Frequently,0
30,Male,Bachelor,Sales,Mid,10.4,3.5,1,,No,3.0,2,2,1.0,1.0,3,12,Travel_Frequently,0
22,Male,Master,Sales,Senior,6.7,2.7,5,8700.0,No,,3,3,3.0,1.0,3,21,Non-Travel,0
34,Male,High School,Engineering,Senior,7.1,3.9,1,6100.0,No,3.0,2,4,2.0,5.0,4,4,Travel_Frequently,1
25,Male,Bachelor,Operations,Junior,3.4,3.0,4,4400.0,Yes,3.0,4,3,,3.0,4,27,Travel_Rarely,1
22,Male,Master,HR,Junior,1.5,1.4,4,5700.0,No,4.0,4,2,,5.0,4,10,Non-Travel,0
53,Female,Master,HR,Mid,1.0,0.4,3,7500.0,No,4.0,4,2,2.0,3.0,4,9,Travel_Rarely,0
55,Male,Bachelor,Sales,Mid,1.6,1.2,7,7300.0,No,,4,3,3.0,2.0,4,4,Travel_Rarely,0
49,Male,Master,Sales,Lead,4.0,3.8,3,9100.0,Yes,,1,1,,4.0,3,24,Travel_Frequently,1
52,Female,Bachelor,Marketing,Mid,0.8,0.5,5,6900.0,Yes,1.0,4,3,2.0,3.0,3,1,Non-Travel,1
29,Female,Master,Sales,Senior,1.2,0.4,6,7100.0,No,3.0,1,4,4.0,2.0,3,5,Non-Travel,1
47,Female,Bachelor,Finance,Senior,2.5,1.6,7,7500.0,No,3.0,3,3,2.0,6.0,4,25,Travel_Rarely,1
55,Female,Master,Operations,Senior,1.1,0.6,3,7900.0,No,3.0,2,3,2.0,5.0,4,3,Travel_Frequently,0
24,Male,Master,Sales,Mid,3.6,2.5,6,7100.0,Yes,3.0,4,2,3.0,4.0,2,11,Travel_Frequently,1
33,Female,Bachelor,Finance,Lead,10.3,6.3,7,7900.0,No,4.0,3,3,2.0,2.0,2,13,Non-Travel,1
22,Male,Bachelor,Sales,Junior,5.5,1.7,6,5300.0,No,2.0,3,3,,2.0,4,22,Travel_Rarely,1
26,Male,High School,Finance,Mid,4.4,4.4,5,4400.0,No,2.0,4,3,2.0,1.0,3,11,Travel_Frequently,0
51,Male,Bachelor,Sales,Junior,3.5,2.4,2,6000.0,No,2.0,3,4,4.0,0.0,3,26,Travel_Rarely,1
51,Male,Master,Marketing,Mid,2.7,1.7,6,8500.0,Yes,3.0,3,1,2.0,0.0,3,6,Travel_Frequently,1
38,Male,High School,Engineering,Mid,0.8,0.8,5,4700.0,No,1.0,1,4,4.0,0.0,3,27,Travel_Frequently,1
44,Female,Master,Engineering,Junior,9.0,3.7,3,6000.0,No,3.0,4,4,3.0,2.0,4,22,Non-Travel,0
36,Female,Master,Finance,Manager,1.1,0.5,1,11900.0,No,2.0,4,2,1.0,3.0,4,4,Travel_Rarely,0
58,Male,PhD,Sales,Junior,0.4,0.3,3,9500.0,Yes,2.0,4,2,2.0,5.0,4,7,Non-Travel,0
42,Male,High School,Marketing,Senior,5.5,2.7,4,6900.0,No,1.0,2,3,2.0,0.0,3,3,Travel_Frequently,1
35,Female,Master,Engineering,Manager,0.8,0.7,3,10500.0,No,2.0,2,3,1.0,3.0,4,22,Travel_Rarely,0
23,Female,Master,Finance,Junior,1.9,0.9,2,5400.0,No,3.0,3,2,2.0,6.0,3,10,Travel_Frequently,1
32,Male,Bachelor,Sales,Senior,0.1,0.0,5,8500.0,No,3.0,2,2,2.0,6.0,3,5,Travel_Frequently,1
59,Female,High School,Finance,Junior,0.6,0.4,6,4900.0,No,2.0,2,4,2.0,4.0,3,19,Non-Travel,1
55,Male,Master,Sales,Junior,0.8,0.4,4,7700.0,No,3.0,3,2,1.0,5.0,4,18,Non-Travel,0
59,Male,Bachelor,Engineering,Mid,0.2,0.2,5,,Yes,2.0,4,3,3.0,5.0,3,28,Travel_Rarely,1
55,Female,High School,Engineering,Manager,4.3,3.2,5,9800.0,No,3.0,4,4,2.0,0.0,3,17,Travel_Frequently,0
39,Male,Master,Marketing,Junior,7.3,6.9,6,6200.0,Yes,3.0,1,4,4.0,2.0,4,24,Travel_Frequently,1
51,Male,Bachelor,Engineering,Senior,1.9,1.6,7,6400.0,Yes,3.0,2,3,2.0,1.0,3,1,Travel_Frequently,1
36,Female,Master,Operations,Mid,8.3,3.5,3,7200.0,No,4.0,2,2,3.0,6.0,4,5,Travel_Rarely,0
48,Female,Bachelor,Operations,Lead,1.0,0.9,1,9200.0,No,3.0,3,4,4.0,2.0,4,21,Non-Travel,0
55,Male,High School,Sales,Junior,1.6,1.2,7,4700.0,Yes,4.0,3,4,1.0,5.0,4,17,Non-Travel,0
59,Male,Bachelor,Finance,Senior,0.7,0.5,4,8700.0,No,3.0,3,4,3.0,6.0,3,25,Non-Travel,0
54,Male,PhD,Sales,Senior,3.9,3.4,6,9500.0,Yes,,4,2,3.0,3.0,2,21,Travel_Rarely,0
45,Female,Master,Engineering,Senior,2.2,1.5,2,7900.0,No,4.0,3,3,4.0,6.0,4,9,Travel_Frequently,0
36,Male,Bachelor,Finance,Manager,3.8,2.4,2,9500.0,Yes,1.0,3,3,3.0,4.0,3,11,Travel_Rarely,0
51,Male,High School,Finance,Lead,5.7,4.3,1,9100.0,No,1.0,4,4,2.0,5.0,3,22,Travel_Frequently,0
38,Female,Master,Finance,Junior,3.2,1.6,1,5100.0,No,3.0,3,3,3.0,2.0,3,7,Travel_Rarely,1
26,Male,Bachelor,Engineering,Mid,4.0,1.7,3,4200.0,No,3.0,3,3,3.0,5.0,3,7,Travel_Rarely,0
50,Male,Master,Engineering,Mid,10.9,8.0,2,7200.0,No,4.0,4,2,2.0,1.0,3,2,Travel_Rarely,0
25,Male,High School,Sales,Mid,1.4,0.6,4,4500.0,No,1.0,3,3,4.0,6.0,4,14,Travel_Rarely,1
31,Female,Bachelor,Finance,Mid,1.8,0.6,6,6300.0,No,4.0,4,3,3.0,1.0,3,16,Travel_Frequently,0
38,Male,Bachelor,HR,Mid,5.1,1.5,1,,Yes,2.0,2,1,1.0,4.0,2,5,Travel_Rarely,1
31,Male,Bachelor,Finance,Mid,3.8,2.8,1,5700.0,Yes,2.0,2,3,4.0,0.0,3,18,Non-Travel,0
38,Female,Bachelor,Engineering,Manager,0.8,0.4,1,9100.0,No,4.0,4,3,,2.0,4,4,Travel_Frequently,0
41,Male,PhD,Engineering,Junior,1.9,1.6,6,7400.0,Yes,1.0,3,4,3.0,5.0,3,12,Travel_Frequently,1
45,Male,Master,Engineering,Manager,2.5,1.4,4,9800.0,No,2.0,3,2,3.0,2.0,3,19,Travel_Rarely,0
26,Male,Bachelor,Sales,Mid,2.2,1.4,2,5700.0,No,1.0,3,4,4.0,1.0,2,28,Non-Travel,0
55,Male,Bachelor,Engineering,Senior,0.8,0.5,7,8600.0,No,4.0,2,3,3.0,3.0,3,13,Non-Travel,0
27,Male,Bachelor,Marketing,Lead,10.3,7.8,4,7200.0,No,3.0,3,2,3.0,2.0,3,27,Non-Travel,0
23,Male,High School,Operations,Mid,5.7,3.1,6,5200.0,No,4.0,4,1,4.0,6.0,4,6,Non-Travel,0
34,Male,Bachelor,HR,Mid,2.6,2.5,4,5500.0,No,,4,4,2.0,1.0,3,11,Travel_Frequently,0
32,Male,High School,Engineering,Mid,4.6,4.4,3,,Yes,3.0,4,2,1.0,3.0,3,15,Non-Travel,1
44,Female,Master,Sales,Mid,9.1,8.1,7,7600.0,Yes,1.0,4,2,3.0,0.0,3,21,Travel_Rarely,1
37,Female,Bachelor,Operations,Manager,0.6,0.6,6,9500.0,No,2.0,4,3,3.0,6.0,3,17,Travel_Rarely,0
52,Female,High School,Sales,Lead,1.2,0.7,7,9500.0,No,3.0,3,3,3.0,0.0,3,2,Travel_Frequently,0
32,Female,Master,Operations,Junior,3.1,2.1,7,6800.0,No,3.0,2,3,,1.0,3,13,Non-Travel,0
37,Male,Master,HR,Junior,6.4,5.2,1,6000.0,No,2.0,2,4,3.0,6.0,3,23,Travel_Rarely,0
29,Female,High School,Engineering,Mid,0.1,0.1,2,5500.0,Yes,2.0,3,4,3.0,1.0,4,25,Non-Travel,0
25,Male,Bachelor,Operations,Junior,16.5,15.2,7,5100.0,Yes,2.0,1,4,4.0,0.0,3,1,Non-Travel,1
25,Female,Bachelor,Sales,Senior,2.4,1.9,3,6200.0,No,3.0,1,3,3.0,1.0,3,4,Travel_Rarely,0
46,Female,Master,Finance,Junior,1.8,1.8,3,6900.0,Yes,2.0,4,4,4.0,,3,15,Travel_Rarely,1
24,Female,Bachelor,HR,Mid,1.4,0.8,6,5600.0,No,2.0,3,3,4.0,4.0,4,16,Non-Travel,0
53,Female,Bachelor,Sales,Junior,0.8,0.7,5,5600.0,No,1.0,4,4,2.0,2.0,4,11,Travel_Rarely,0
24,Male,Bachelor,Engineering,Mid,6.3,5.0,1,6500.0,No,4.0,3,3,3.0,4.0,3,3,Non-Travel,0
48,Male,Bachelor,Finance,Senior,12.4,9.7,2,6100.0,No,2.0,3,2,2.0,3.0,3,12,Travel_Frequently,1
50,Male,PhD,Marketing,Mid,2.1,1.1,2,9200.0,Yes,4.0,1,4,4.0,1.0,3,12,Travel_Rarely,1
53,Female,Bachelor,Sales,Manager,12.2,10.4,2,10200.0,No,3.0,4,3,3.0,1.0,3,11,Travel_Frequently,0
40,Male,Master,Operations,Lead,6.9,6.4,6,9300.0,No,3.0,1,4,2.0,6.0,3,16,Non-Travel,0
42,Female,Master,Sales,Mid,2.6,1.2,1,6000.0,Yes,1.0,3,2,4.0,3.0,4,29,Travel_Frequently,1
26,Female,Bachelor,Engineering,Junior,4.5,3.3,7,3700.0,No,3.0,1,4,3.0,6.0,4,21,Travel_Rarely,0
39,Male,Bachelor,Engineering,Lead,2.3,1.3,7,8400.0,Yes,,2,2,4.0,2.0,4,21,Non-Travel,0
49,Female,PhD,Sales,Lead,3.3,3.3,6,11000.0,No,1.0,2,3,2.0,0.0,3,13,Travel_Rarely,0
43,Female,Bachelor,Sales,Lead,0.2,0.1,2,9500.0,No,4.0,3,3,4.0,4.0,3,12,Travel_Rarely,0
42,Female,PhD,Operations,Junior,4.8,2.2,7,7300.0,Yes,3.0,4,3,3.0,2.0,3,10,Travel_Frequently,1
27,Female,High School,Engineering,Manager,0.2,0.1,4,9800.0,Yes,2.0,3,4,,0.0,3,26,Travel_Rarely,0
22,Male,Bachelor,Sales,Junior,6.8,5.2,4,4600.0,Yes,3.0,3,3,4.0,0.0,4,11,Non-Travel,0
26,Female,Master,Sales,Senior,7.0,2.5,1,8100.0,Yes,3.0,4,1,3.0,1.0,1,18,Travel_Rarely,0
33,Female,Master,Finance,Lead,1.1,0.8,2,8300.0,Yes,3.0,4,3,3.0,3.0,3,5,Travel_Rarely,0
47,Male,Bachelor,Operations,Junior,1.6,1.5,6,5900.0,Yes,3.0,4,3,2.0,5.0,4,20,Non-Travel,1
55,Male,High School,Engineering,Lead,2.6,2.3,5,9000.0,No,1.0,3,3,4.0,1.0,4,13,Travel_Rarely,1
35,Female,High School,Sales,Mid,3.6,1.3,5,5100.0,No,2.0,4,2,3.0,6.0,4,17,Travel_Rarely,1
47,Male,Bachelor,Engineering,Manager,1.4,1.4,5,11200.0,No,3.0,3,3,4.0,5.0,4,12,Travel_Frequently,0
48,Female,Master,Sales,Mid,3.6,2.8,4,8000.0,No,3.0,2,4,3.0,3.0,3,17,Travel_Rarely,0
30,Female,High School,Sales,Manager,1.4,0.6,6,9100.0,Yes,3.0,1,1,2.0,1.0,3,1,Travel_Rarely,1
47,Male,High School,Engineering,Junior,0.2,0.1,5,6000.0,Yes,3.0,2,3,1.0,4.0,2,8,Non-Travel,1
43,Male,Master,Engineering,Senior,0.0,0.0,2,6600.0,No,3.0,3,1,4.0,1.0,3,16,Non-Travel,0
51,Female,Master,HR,Mid,0.4,0.4,2,6200.0,No,3.0,4,2,2.0,4.0,3,15,Travel_Frequently,0
38,Male,Bachelor,Engineering,Mid,6.3,2.0,5,5300.0,No,4.0,4,3,2.0,5.0,3,19,Travel_Frequently,0
47,Male,High School,Operations,Junior,13.0,6.0,3,5600.0,Yes,,4,3,3.0,2.0,4,25,Travel_Rarely,0
57,Male,Bachelor,Operations,Senior,2.2,1.8,5,7500.0,No,3.0,3,3,2.0,,3,10,Travel_Frequently,0
22,Male,Master,HR,Junior,2.9,2.1,3,4500.0,No,4.0,4,4,4.0,5.0,3,2,Travel_Rarely,0
29,Female,Bachelor,Engineering,Mid,0.6,0.5,1,5600.0,No,3.0,2,4,3.0,5.0,3,25,Travel_Frequently,0
56,Male,Bachelor,Engineering,Junior,3.2,2.6,1,6400.0,No,3.0,3,4,4.0,1.0,3,27,Non-Travel,0
36,Female,Bachelor,Engineering,Manager,0.6,0.2,2,9800.0,No,2.0,3,3,1.0,2.0,3,25,Travel_Rarely,0
43,Male,High School,Marketing,Junior,3.8,3.5,6,4200.0,No,4.0,4,3,2.0,0.0,4,4,Travel_Rarely,0
35,Male,Bachelor,Engineering,Junior,10.8,5.0,4,5300.0,No,,3,3,3.0,4.0,3,4,Travel_Rarely,0
47,Female,Master,Operations,Junior,0.9,0.6,6,7500.0,No,3.0,3,4,3.0,5.0,4,20,Non-Travel,0
49,Female,Bachelor,Operations,Mid,5.8,4.4,2,5700.0,Yes,2.0,2,3,2.0,6.0,3,12,Travel_Rarely,1
44,Male,Bachelor,Engineering,Junior,0.1,0.0,2,7000.0,No,1.0,3,2,3.0,3.0,3,17,Travel_Rarely,0
35,Male,Bachelor,HR,Mid,1.9,1.9,6,5500.0,Yes,2.0,4,2,4.0,4.0,3,21,Non-Travel,0
45,Male,Master,Sales,Lead,0.5,0.3,4,9200.0,No,2.0,3,3,2.0,1.0,3,29,Travel_Rarely,0
23,Male,Bachelor,Sales,Senior,1.7,0.6,2,6600.0,No,4.0,1,1,3.0,2.0,3,22,Travel_Rarely,0
47,Female,Bachelor,Engineering,Mid,0.8,0.8,7,6600.0,No,4.0,2,2,3.0,2.0,3,4,Travel_Frequently,0
35,Male,Bachelor,Sales,Junior,1.9,1.3,7,3500.0,No,3.0,3,3,2.0,0.0,1,8,Travel_Rarely,1
28,Male,Bachelor,Operations,Senior,2.2,1.7,4,6600.0,No,1.0,3,1,3.0,2.0,4,16,Non-Travel,0
24,Male,High School,Sales,Junior,1.4,0.9,2,4700.0,No,2.0,2,3,3.0,1.0,2,15,Travel_Rarely,1
44,Female,High School,Engineering,Senior,4.3,3.8,7,7800.0,No,3.0,4,4,2.0,1.0,2,14,Non-Travel,0
39,Female,Bachelor,Finance,Junior,10.0,3.2,1,5400.0,No,2.0,3,2,2.0,3.0,3,19,Travel_Rarely,0
59,Male,Master,Finance,Mid,2.0,1.0,3,7900.0,No,3.0,1,2,4.0,4.0,3,11,Non-Travel,0
56,Female,High School,Engineering,Mid,0.9,0.6,2,7100.0,No,1.0,4,1,2.0,6.0,3,25,Travel_Rarely,0
36,Male,Bachelor,Operations,Lead,1.3,0.5,3,9700.0,No,3.0,3,3,3.0,4.0,3,13,Non-Travel,0
46,Male,PhD,HR,Junior,7.7,6.1,5,7900.0,No,4.0,4,3,3.0,4.0,2,23,Non-Travel,0
58,Female,High School,Engineering,Mid,3.4,2.0,7,6500.0,No,3.0,3,3,2.0,6.0,3,8,Travel_Frequently,0
49,Female,Bachelor,Sales,Junior,2.4,1.2,2,7000.0,No,4.0,1,3,4.0,3.0,2,23,Travel_Frequently,0
31,Female,Bachelor,Engineering,Senior,0.6,0.2,1,,No,,1,3,2.0,3.0,3,9,Travel_Rarely,0
38,Male,High School,Marketing,Lead,2.4,1.9,4,8000.0,Yes,3.0,1,4,2.0,3.0,4,2,Non-Travel,0
43,Male,Master,Finance,Mid,1.3,1.1,1,9300.0,No,3.0,4,1,3.0,0.0,3,20,Travel_Frequently,0
47,Female,Bachelor,Marketing,Mid,11.5,6.6,3,6900.0,No,2.0,2,4,1.0,3.0,3,2,Travel_Frequently,1
46,Male,Bachelor,HR,Manager,8.6,6.0,4,11400.0,No,4.0,4,3,3.0,2.0,3,8,Travel_Frequently,0
38,Male,Bachelor,Sales,Mid,0.4,0.2,1,5800.0,No,3.0,4,2,4.0,5.0,4,18,Travel_Rarely,0
34,Male,Master,Sales,Mid,2.9,2.1,1,7400.0,No,3.0,3,3,2.0,0.0,4,24,Non-Travel,0
41,Female,Master,Engineering,Mid,1.0,0.3,1,8200.0,No,3.0,4,1,3.0,6.0,4,22,Non-Travel,0
46,Male,High School,Finance,Senior,2.1,1.3,6,5900.0,No,2.0,2,3,2.0,2.0,1,7,Travel_Frequently,1
25,Male,Bachelor,Marketing,Junior,8.4,6.3,4,4700.0,Yes,4.0,2,2,4.0,6.0,2,11,Travel_Frequently,0
31,Female,Master,Engineering,Lead,3.0,2.8,1,9300.0,No,2.0,3,1,2.0,4.0,4,29,Travel_Rarely,0
24,Male,Master,HR,Mid,1.6,0.9,7,6400.0,Yes,,2,3,2.0,1.0,3,22,Travel_Rarely,1
39,Male,Bachelor,Engineering,Junior,0.9,0.8,7,5100.0,No,2.0,4,4,3.0,4.0,3,28,Travel_Rarely,1
57,Male,Bachelor,Engineering,Senior,6.4,4.6,1,9300.0,Yes,3.0,4,4,3.0,3.0,3,25,Travel_Frequently,0
43,Male,High School,Engineering,Mid,3.9,3.7,3,6000.0,No,3.0,4,3,1.0,1.0,3,20,Travel_Rarely,1
